ID,Name,Begin date,End date,Duration,Completion,Cost,Coordinator,Predecessors,Outline number,Resources,Assignments,Task color,Web Link,Notes,Flag1,Flag2,Flag3,Flag4,Flag5,Flag6,Flag7,Flag8,Flag9,Flag10,Number1,Number2,Number3,Number4,Number5,Cost1,Cost2,Cost3,Cost4,Cost5,Cost6,Cost7,Cost8,Cost9,Cost10,Flag11,Flag12,Flag13,Flag14,Flag15,Flag16,Flag17,Flag18,Flag19,Flag20,Number6,Number7,Number8,Number9,Number10,Number11,Number12,Number13,Number14,Number15,Number16,Number17,Number18,Number19,Number20,Text20
0,PROGRAMA OBRA EDIFICIO ARBOLEDA CHILLAN,10/24/22,12/12/22,36,20,0.0,,,1,,,"#000000",,,false,false,false,false,false,false,false,false,false,false,20.45267489711934,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,false,false,false,false,false,false,false,false,false,false,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
1,"  EDIFICIO ARBOLEDA CHILLAN DIAS HABILES",10/24/22,12/12/22,36,20,0.0,,,1.1,,,"#000000",,,false,false,false,false,false,false,false,false,false,false,20.45267489711934,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,false,false,false,false,false,false,false,false,false,false,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"18,57"
2,"    EDIFICIO ARBOLEDA CHILLAN DIAS CORRIDOS",10/24/22,12/12/22,36,20,0.0,,,1.1.1,,,"#000000",,,false,false,false,false,false,false,false,false,false,false,20.45267489711934,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,false,false,false,false,false,false,false,false,false,false,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"18,57"
3,"      Reinicio del Programa",10/24/22,10/24/22,1,0,0.0,,,1.1.1.1,,,,,,false,false,false,false,false,false,false,false,false,false,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,false,false,false,false,false,false,false,false,false,false,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100
4,"      EDIFICACION",10/24/22,12/12/22,36,20,0.0,,,1.1.1.2,,,"#000000",,,false,false,false,false,false,false,false,false,false,false,20.50411522633745,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,false,false,false,false,false,false,false,false,false,false,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"18,35"
5,"        TERMINACIONES",10/24/22,12/12/22,36,20,0.0,,,1.1.1.2.1,,,"#000000",,,false,false,false,false,false,false,false,false,false,false,20.50411522633745,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,false,false,false,false,false,false,false,false,false,false,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"18,35"
6,"          Pilotos",10/24/22,12/12/22,36,20,0.0,,,1.1.1.2.1.1,,,"#000000",,,false,false,false,false,false,false,false,false,false,false,20.50411522633745,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,false,false,false,false,false,false,false,false,false,false,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"18,35"
7,"            Departamento 205",10/24/22,11/24/22,24,27,0.0,,,1.1.1.2.1.1.1,,,"#000000",,,false,false,false,false,false,false,false,false,false,false,27.90895061728395,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,false,false,false,false,false,false,false,false,false,false,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"41,86"
8,"              Fase 3",10/24/22,11/22/22,22,46,0.0,,,1.1.1.2.1.1.1.1,,,"#000000",,,false,false,false,false,false,false,false,false,false,false,46.936026936026934,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,false,false,false,false,false,false,false,false,false,false,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"57,15"
9,"                Maquillaje Terrazas (Antepechos,Cielos, Muros sin Eifs, Cielos)",10/24/22,10/26/22,3,100,0.0,,3-SS,1.1.1.2.1.1.1.1.1,,,,,,false,false,false,false,false,false,false,false,false,false,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,false,false,false,false,false,false,false,false,false,false,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100
10,"                Remate Ventanas",10/24/22,10/25/22,2,100,0.0,,9-SS,1.1.1.2.1.1.1.1.2,,,,,,false,false,false,false,false,false,false,false,false,false,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,false,false,false,false,false,false,false,false,false,false,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100
11,"                Barandas Vidriadas instalacion Banquina Aluminio",11/15/22,11/17/22,3,0,0.0,,26,1.1.1.2.1.1.1.1.3,,,,,,false,false,false,false,false,false,false,false,false,false,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,false,false,false,false,false,false,false,false,false,false,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
12,"                Barandas Vidriadas Instalacion Cristal",11/18/22,11/22/22,3,0,0.0,,11,1.1.1.2.1.1.1.1.4,,,,,,false,false,false,false,false,false,false,false,false,false,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,false,false,false,false,false,false,false,false,false,false,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
13,"                Cortagoteras terrazas",10/27/22,10/31/22,3,0,0.0,,9,1.1.1.2.1.1.1.1.5,,,,,,false,false,false,false,false,false,false,false,false,false,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,false,false,false,false,false,false,false,false,false,false,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100
14,"                Canteria Baños",11/1/22,11/7/22,5,100,0.0,,16,1.1.1.2.1.1.1.1.6,,,,,,false,false,false,false,false,false,false,false,false,false,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,false,false,false,false,false,false,false,false,false,false,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,60
15,"                Ceramica piso",10/24/22,10/25/22,2,100,0.0,,10-SS,1.1.1.2.1.1.1.1.7,,,,,,false,false,false,false,false,false,false,false,false,false,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,false,false,false,false,false,false,false,false,false,false,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100
