Id;EDT;Nombre;Comienzo;Fin;Duracion;Programado;Real;Nivel_de_esquema
1;1;RESUMEN DEL PROYECTO DIAS CORRIDOS;07-06-21;30-09-22;481 días;11,34;7,21;1
2;1.1;RESUMEN DEL PROYECTO DIAS HABILES;07-06-21;30-09-22;333 días;11,34;7,21;2
3;1.1.1;EDIFICIO ARBOLEDA CHILLAN;07-06-21;30-09-22;333 días;11,34;7,21;3
4;1.1.1.1; OBRAS PROVISORIAS;07-06-21;12-04-22;214 días;98,43;98,43;4
5;1.1.1.1.1;Inicio de Faena;07-06-21;15-06-21;7 días;100;100;5
6;1.1.1.1.1.1;Entrega de Terreno;07-06-21;07-06-21;1 día;100;100;6
7;1.1.1.1.1.2;Trazado y replanteo;07-06-21;15-06-21;7 días;100;100;6
8;1.1.1.1.2;Oficinas e Instalacion de faena;07-06-21;31-08-21;58 días;100;100;5
9;1.1.1.1.2.1;Oficinas e Instalacion de faena Provisoria;17-06-21;02-07-21;10 días;100;100;6
10;1.1.1.1.2.1.1;Vestidores;25-06-21;02-07-21;5 días;100;100;7
11;1.1.1.1.2.1.2;Comedor;22-06-21;25-06-21;4 días;100;100;7
12;1.1.1.1.2.1.3;Bodega;17-06-21;02-07-21;10 días;100;100;7
13;1.1.1.1.2.1.4;ITO;22-06-21;23-06-21;2 días;100;100;7
14;1.1.1.1.2.2;Oficinas e Instalacion de faena Definitiva;07-06-21;31-08-21;58 días;100;100;6
15;1.1.1.1.2.2.1;Servicios Higienicos;17-08-21;31-08-21;10 días;100;100;7
16;1.1.1.1.2.2.2;Vestidores;17-08-21;31-08-21;10 días;100;100;7
17;1.1.1.1.2.2.3;Casino;17-08-21;30-08-21;9 días;100;100;7
18;1.1.1.1.2.2.4;Oficinas;13-08-21;30-08-21;11 días;100;100;7
19;1.1.1.1.2.2.5;Oficinas ITO;17-08-21;31-08-21;10 días;100;100;7
20;1.1.1.1.2.2.6;Sala de Reuniones;18-08-21;30-08-21;8 días;100;100;7
21;1.1.1.1.2.2.7;Bodegas;17-08-21;31-08-21;10 días;100;100;7
22;1.1.1.1.2.2.8;Cierros Provisorios;07-06-21;10-08-21;44 días;100;100;7
23;1.1.1.1.2.2.9;Instalaciones varias;07-06-21;11-08-21;45 días;100;100;7
24;1.1.1.1.3;GRUA;07-06-21;12-04-22;214 días;94,12;94,12;5
25;1.1.1.1.3.1;Permiso Municipal;07-06-21;13-07-21;25 días;100;100;6
26;1.1.1.1.3.2;Obras civil grua 1;10-06-21;06-07-21;17 días;100;100;6
27;1.1.1.1.3.3;Montaje grua 1;30-07-21;30-07-21;1 día;100;100;6
28;1.1.1.1.3.4;Obra civil grua 2;13-08-21;10-09-21;20 días;100;100;6
29;1.1.1.1.3.5;Montaje grua 2;28-09-21;28-09-21;1 día;100;100;6
30;1.1.1.1.3.6;Retiro grua 1;22-03-22;23-03-22;2 días;0;0;6
31;1.1.1.1.3.7;Retiro grua 2;11-04-22;12-04-22;2 días;0;0;6
32;1.1.1.2; EDIFICACION;10-06-21;30-09-22;330 días;9,51;5,29;4
33;1.1.1.2.1;OBRA GRUESA;10-06-21;29-04-22;223 días;70,97;49,36;5
34;1.1.1.2.1.1;EXCAVACION MASIVA MEJORAMIENTO;10-06-21;08-07-21;19 días;100;100;6
35;1.1.1.2.1.1.1;ETAPA 1 (SB -1);10-06-21;18-06-21;7 días;100;100;7
36;1.1.1.2.1.1.1.1;Escarpe Horizonte 3 + Retiro Botadero;10-06-21;14-06-21;3 días;100;100;8
37;1.1.1.2.1.1.1.2;Rellenos material mejoramiento;15-06-21;17-06-21;3 días;100;100;8
38;1.1.1.2.1.1.1.3;Compactacion;16-06-21;18-06-21;3 días;100;100;8
39;1.1.1.2.1.1.2;ETAPA 2 (EJE 1 AL 12);15-06-21;24-06-21;7 días;100;100;7
40;1.1.1.2.1.1.2.1;Escarpe Horizonte 3 + Retiro Botadero;15-06-21;17-06-21;3 días;100;100;8
41;1.1.1.2.1.1.2.2;Rellenos material mejoramiento;18-06-21;23-06-21;3 días;100;100;8
42;1.1.1.2.1.1.2.3;Compactacion;22-06-21;24-06-21;3 días;100;100;8
